,TBATS,Holts,Sarima
2020-09-22 00:00:00,16.15537056973636,16.47133887498914,16.357238255414725
2020-09-22 01:00:00,16.056963969037334,16.340206338649217,16.477325364951046
2020-09-22 02:00:00,15.987785893858172,16.342415740831328,16.43210915997874
2020-09-22 03:00:00,15.917384981284432,16.47766080390854,16.44027780722489
2020-09-22 04:00:00,15.867615150659523,16.346572684440627,16.504165822716676
2020-09-22 05:00:00,15.903496323964715,16.348541802663664,16.528931976556283
2020-09-22 06:00:00,16.083810220827456,16.350436185486295,16.800407141590714
2020-09-22 07:00:00,16.426194527852154,16.25201889937883,16.66462240515389
2020-09-22 08:00:00,16.902145716869114,15.920541431631998,16.460980938928692
2020-09-22 09:00:00,17.442825955572534,16.52231590156952,16.544951808059704
2020-09-22 10:00:00,17.95248584210035,16.657775495708435,16.510253322552362
2020-09-22 11:00:00,18.34332339395931,16.859614184836275,16.514364247139103
2020-09-22 12:00:00,18.576673925421453,17.327935968301173,16.593786587423338
2020-09-22 13:00:00,18.665408855809567,17.2296508998345,16.560044775878602
2020-09-22 14:00:00,18.627968846460508,17.464397249489945,16.597845175141696
2020-09-22 15:00:00,18.4524185307817,17.132524959057516,16.522861027138838
2020-09-22 16:00:00,18.126545623500427,16.634300971916698,16.487925623186932
2020-09-22 17:00:00,17.701004880803264,16.50258333050534,16.601236181668003
2020-09-22 18:00:00,17.293143887152038,16.13795140525759,16.602010495293754
2020-09-22 19:00:00,17.003541724685757,16.139705259962007,16.704500742510675
2020-09-22 20:00:00,16.832738111290038,16.50806511648283,16.60329675614392
2020-09-22 21:00:00,16.697498737802942,16.276598993114906,16.603857059220907
2020-09-22 22:00:00,16.529309182319942,16.278141635324918,16.65243561217547
2020-09-22 23:00:00,16.34011752628391,16.51280582499333,16.528524649155443
